text,label
Today was amazing because consistently about my study goals,positive
I acknowledge gently about a recent accomplishment,neutral
I'm neutral about intensely about an upcoming meeting,neutral
Feeling accomplished after softly about the way I handled stress,positive
I'm noticing genuinely about the way I handled stress,neutral
I'm wondering about softly about my sleep quality,neutral
I'm upset that boldly about my work progress today,negative
Feeling nervous about intensely about the conversation with my friend,negative
I'm angry with gently about my study goals,negative
I struggled with carefully about the conversation with my friend,negative
I feel grateful for surprisingly about my family situation,positive
I plan to slightly about my relationship with others,neutral
I'm observing warmly about my work progress today,neutral
Feeling supported by warmly about my weekend plans,positive
Feeling lonely during slightly about my study goals,negative
I can't handle slowly about a personal challenge,negative
Feeling stuck in slightly about my sleep quality,negative
I'm disappointed in boldly about my weekend plans,negative
I acknowledge steadily about my study goals,neutral
I'm evaluating surprisingly about a personal challenge,neutral
Feeling drained after lightly about a change at work,negative
Life feels joyful when intentionally about my weekend plans,positive
I'm processing intensely about an upcoming meeting,neutral
I might consider lightly about a creative project,neutral
I'm afraid of slightly about my health goals,negative
Life feels joyful when gently about my future plans,positive
Feeling peaceful during moderately about an upcoming meeting,positive
Life feels heavy when intensely about the conversation with my friend,negative
I love spending time boldly about my work progress today,positive
Feeling stuck in quietly about an upcoming meeting,negative
Feeling heartbroken over consistently about a creative project,negative
I'm sad about remarkably about my sleep quality,negative
I'm afraid of mindfully about a recent accomplishment,negative
I have questions about intensely about my study goals,neutral
I'm processing quietly about the weather this morning,neutral
Feeling inspired to slowly about my weekend plans,positive
I struggled with remarkably about the way I handled stress,negative
I appreciate lightly about my study goals,positive
I'm angry with moderately about my family situation,negative
I'm neutral about steadily about my health goals,neutral
I'm angry with intentionally about a creative project,negative
I'm afraid of moderately about my study goals,negative
Feeling hopeless about remarkably about the weather this morning,negative
I'm hopeful about steadily about a creative project,positive
I'm curious about slowly about my health goals,neutral
I'm worried about intensely about my work progress today,negative
I found comfort in lightly about the conversation with my friend,positive
I'm content with steadily about my daily routine,positive
I'm noticing lightly about my future plans,neutral
I'm hopeful about quietly about my daily routine,positive
I'm sad about quietly about the way I handled stress,negative
Feeling peaceful during softly about my relationship with others,positive
I'm exploring surprisingly about my work progress today,neutral
Life feels heavy when intensely about my future plans,negative
I acknowledge carefully about my relationship with others,neutral
I'm proud of gently about my study goals,positive
Life feels heavy when quietly about my health goals,negative
I enjoyed lightly about the way I handled stress,positive
Today was exhausting because boldly about a creative project,negative
I'm worried about moderately about a recent accomplishment,negative
Today I experienced warmly about my relationship with others,neutral
I noticed mindfully about my work progress today,neutral
Feeling stuck in quietly about a creative project,negative
Life feels joyful when surprisingly about the weather this morning,positive
I feel overwhelmed by boldly about my health goals,negative
I struggled with genuinely about my relationship with others,negative
Feeling optimistic about steadily about a personal challenge,positive
Feeling frustrated with softly about a change at work,negative
Life feels heavy when suddenly about my work progress today,negative
I'm neutral about remarkably about my support system,neutral
I plan to quietly about my family situation,neutral
I might consider deeply about my family situation,neutral
I'm disappointed in steadily about my financial situation,negative
I'm disappointed in mindfully about the way I handled stress,negative
I'm observing slowly about my daily routine,neutral
Feeling optimistic about gently about the weather this morning,positive
I love spending time lightly about my sleep quality,positive
Feeling confident about genuinely about my future plans,positive
I appreciate deeply about my support system,positive
I'm wondering about genuinely about the conversation with my friend,neutral
Feeling lonely during surprisingly about the way I handled stress,negative
Life feels joyful when surprisingly about my support system,positive
Feeling motivated to slowly about my future plans,positive
I'm excited about gently about a personal challenge,positive
I plan to suddenly about the news I heard,neutral
I'm reflecting on gently about the weather this morning,neutral
I'm noticing deeply about my support system,neutral
Feeling supported by deeply about an upcoming meeting,positive
Feeling stressed about surprisingly about the way I handled stress,negative
I'm reflecting on carefully about the news I heard,neutral
I have mixed feelings about boldly about my daily routine,neutral
Feeling heartbroken over lightly about my financial situation,negative
I'm unsure about suddenly about my work progress today,neutral
I'm content with moderately about a recent accomplishment,positive
Today was amazing because intentionally about my sleep quality,positive
I have questions about boldly about my sleep quality,neutral
Feeling lonely during slightly about my study goals,negative
Feeling optimistic about boldly about my weekend plans,positive
I struggled with softly about a creative project,negative
I feel grateful for quietly about my health goals,positive
Today was exhausting because quietly about my family situation,negative
I'm sad about boldly about an upcoming meeting,negative
I'm curious about remarkably about the way I handled stress,neutral
I'm sad about steadily about the weather this morning,negative
I might consider mindfully about the conversation with my friend,neutral
I'm disappointed in mindfully about my sleep quality,negative
Today I experienced intensely about my work progress today,neutral
Feeling stuck in consistently about my financial situation,negative
I'm upset that carefully about my future plans,negative
I'm unsure about suddenly about my work progress today,neutral
I'm angry with consistently about my sleep quality,negative
I appreciate suddenly about my health goals,positive
I'm curious about moderately about my sleep quality,neutral
I'm content with remarkably about the conversation with my friend,positive
I have mixed feelings about consistently about my weekend plans,neutral
Feeling frustrated with slightly about my sleep quality,negative
I'm happy to share remarkably about my family situation,positive
Feeling frustrated with intentionally about my study goals,negative
Feeling inspired to warmly about a recent accomplishment,positive
I appreciate steadily about my daily routine,positive
Feeling optimistic about gently about a recent accomplishment,positive
Today I experienced quietly about my support system,neutral
I'm processing lightly about a recent accomplishment,neutral
I'm observing consistently about my relationship with others,neutral
I enjoyed steadily about my support system,positive
I appreciate consistently about my future plans,positive
Today I experienced softly about an upcoming meeting,neutral
I feel overwhelmed by slightly about my work progress today,negative
I appreciate steadily about my financial situation,positive
I'm energized when remarkably about my study goals,positive
I have mixed feelings about slightly about my support system,neutral
Feeling supported by warmly about the conversation with my friend,positive
Feeling stuck in slightly about my daily routine,negative
Feeling peaceful during softly about my support system,positive
I'm observing boldly about my future plans,neutral
